sentence,author
"AFTER an unequivocal experience of the inefficiency of the subsisting federal government, you are called upon to deliberate on a new Constitution for the United States of America",Hamilton
"The subject speaks its own importance; comprehending in its consequences nothing less than the existence of the UNION, the safety and welfare of the parts of which it is composed, the fate of an empire in many respects the most interesting in the world",Hamilton
"It has been frequently remarked that it seems to have been reserved to the people of this country, by their conduct and example, to decide the important question, whether societies of men are really capable or not of establishing good government from reflection and choice, or whether they are forever destined to depend for their political constitutions on accident and force",Hamilton
"If there be any truth in the remark, the crisis at which we are arrived may with propriety be regarded as the era in which that decision is to be made; and a wrong election of the part we shall act may, in this view, deserve to be considered as the general misfortune of mankind",Hamilton
"This idea will add the inducements of philanthropy to those of patriotism, to heighten the solicitude which all considerate and good men must feel for the event",Hamilton
"Happy will it be if our choice should be directed by a judicious estimate of our true interests, unperplexed and unbiased by considerations not connected with the public good",Hamilton
But this is a thing more ardently to be wished than seriously to be expected,Hamilton
"The plan offered to our deliberations affects too many particular interests, innovates upon too many local institutions, not to involve in its discussion a variety of objects foreign to its merits, and of views, passions and prejudices little favorable to the discovery of truth",Hamilton
"Among the most formidable of the obstacles which the new Constitution will have to encounter may readily be distinguished the obvious interest of a certain class of men in every State to resist all changes which may hazard a diminution of the power, emolument, and consequence of the offices they hold under the State establishments; and the perverted ambition of another class of men, who will either hope to aggrandize themselves by the confusions of their country, or will flatter themselves with fairer prospects of elevation from the subdivision of the empire into several partial confederacies than from its union under one government",Hamilton
"It is not, however, my design to dwell upon observations of this nature",Hamilton
I am well aware that it would be disingenuous to resolve indiscriminately the opposition of any set of men (merely because their situations might subject them to suspicion) into interested or ambitious views,Hamilton
"Candor will oblige us to admit that even such men may be actuated by upright intentions; and it cannot be doubted that much of the opposition which has made its appearance, or may hereafter make its appearance, will spring from sources, blameless at least, if not respectable--the honest errors of minds led astray by preconceived jealousies and fears",Hamilton
"So numerous indeed and so powerful are the causes which serve to give a false bias to the judgment, that we, upon many occasions, see wise and good men on the wrong as well as on the right side of questions of the first magnitude to society",Hamilton
"This circumstance, if duly attended to, would furnish a lesson of moderation to those who are ever so much persuaded of their being in the right in any controversy",Hamilton
"And a further reason for caution, in this respect, might be drawn from the reflection that we are not always sure that those who advocate the truth are influenced by purer principles than their antagonists",Hamilton
"Ambition, avarice, personal animosity, party opposition, and many other motives not more laudable than these, are apt to operate as well upon those who support as those who oppose the right side of a question",Hamilton
"Were there not even these inducements to moderation, nothing could be more ill-judged than that intolerant spirit which has, at all times, characterized political parties",Hamilton
"For in politics, as in religion, it is equally absurd to aim at making proselytes by fire and sword",Hamilton
Heresies in either can rarely be cured by persecution,Hamilton
"And yet, however just these sentiments will be allowed to be, we have already sufficient indications that it will happen in this as in all former cases of great national discussion",Hamilton
A torrent of angry and malignant passions will be let loose,Hamilton
"To judge from the conduct of the opposite parties, we shall be led to conclude that they will mutually hope to evince the justness of their opinions, and to increase the number of their converts by the loudness of their declamations and the bitterness of their invectives",Hamilton
An enlightened zeal for the energy and efficiency of government will be stigmatized as the offspring of a temper fond of despotic power and hostile to the principles of liberty,Hamilton
"An over-scrupulous jealousy of danger to the rights of the people, which is more commonly the fault of the head than of the heart, will be represented as mere pretense and artifice, the stale bait for popularity at the expense of the public good",Hamilton
"It will be forgotten, on the one hand, that jealousy is the usual concomitant of love, and that the noble enthusiasm of liberty is apt to be infected with a spirit of narrow and illiberal distrust",Hamilton
"On the other hand, it will be equally forgotten that the vigor of government is essential to the security of liberty; that, in the contemplation of a sound and well-informed judgment, their interest can never be separated; and that a dangerous ambition more often lurks behind the specious mask of zeal for the rights of the people than under the forbidden appearance of zeal for the firmness and efficiency of government",Hamilton
"History will teach us that the former has been found a much more certain road to the introduction of despotism than the latter, and that of those men who have overturned the liberties of republics, the greatest number have begun their career by paying an obsequious court to the people; commencing demagogues, and ending tyrants",Hamilton
"In the course of the preceding observations, I have had an eye, my fellow-citizens, to putting you upon your guard against all attempts, from whatever quarter, to influence your decision in a matter of the utmost moment to your welfare, by any impressions other than those which may result from the evidence of truth",Hamilton
"You will, no doubt, at the same time, have collected from the general scope of them, that they proceed from a source not unfriendly to the new Constitution",Hamilton
"Yes, my countrymen, I own to you that, after having given it an attentive consideration, I am clearly of opinion it is your interest to adopt it",Hamilton
"I am convinced that this is the safest course for your liberty, your dignity, and your happiness",Hamilton
I affect not reserves which I do not feel,Hamilton
I will not amuse you with an appearance of deliberation when I have decided,Hamilton
"I frankly acknowledge to you my convictions, and I will freely lay before you the reasons on which they are founded",Hamilton
The consciousness of good intentions disdains ambiguity,Hamilton
"I shall not, however, multiply professions on this head",Hamilton
My motives must remain in the depository of my own breast,Hamilton
"My arguments will be open to all, and may be judged of by all",Hamilton
They shall at least be offered in a spirit which will not disgrace the cause of truth,Hamilton
"I propose, in a series of papers, to discuss the following interesting particulars:THE UTILITY OF THE UNION TO YOUR POLITICAL PROSPERITY THE INSUFFICIENCY OF THE PRESENT CONFEDERATION TO PRESERVE THAT UNION THE NECESSITY OF A GOVERNMENT AT LEAST EQUALLY ENERGETIC WITH THE ONE PROPOSED, TO THE ATTAINMENT OF THIS OBJECT THE CONFORMITY OF THE PROPOSED CONSTITUTION TO THE TRUE PRINCIPLES OF REPUBLICAN GOVERNMENT ITS ANALOGY TO YOUR OWN STATE CONSTITUTION and lastly, THE ADDITIONAL SECURITY WHICH ITS ADOPTION WILL AFFORD TO THE PRESERVATION OF THAT SPECIES OF GOVERNMENT, TO LIBERTY, AND TO PROPERTY",Hamilton
"In the progress of this discussion I shall endeavor to give a satisfactory answer to all the objections which shall have made their appearance, that may seem to have any claim to your attention",Hamilton
"It may perhaps be thought superfluous to offer arguments to prove the utility of the UNION, a point, no doubt, deeply engraved on the hearts of the great body of the people in every State, and one, which it may be imagined, has no adversaries",Hamilton
"But the fact is, that we already hear it whispered in the private circles of those who oppose the new Constitution, that the thirteen States are of too great extent for any general system, and that we must of necessity resort to separate confederacies of distinct portions of the whole",Hamilton
"[1] This doctrine will, in all probability, be gradually propagated, till it has votaries enough to countenance an open avowal of it",Hamilton
"For nothing can be more evident, to those who are able to take an enlarged view of the subject, than the alternative of an adoption of the new Constitution or a dismemberment of the Union",Hamilton
"It will therefore be of use to begin by examining the advantages of that Union, the certain evils, and the probable dangers, to which every State will be exposed from its dissolution",Hamilton
This shall accordingly constitute the subject of my next address,Hamilton
"THE three last numbers of this paper have been dedicated to an enumeration of the dangers to which we should be exposed, in a state of disunion, from the arms and arts of foreign nations",Hamilton
"I shall now proceed to delineate dangers of a different and, perhaps, still more alarming kind--those which will in all probability flow from dissensions between the States themselves, and from domestic factions and convulsions",Hamilton
These have been already in some instances slightly anticipated; but they deserve a more particular and more full investigation,Hamilton
"A man must be far gone in Utopian speculations who can seriously doubt that, if these States should either be wholly disunited, or only united in partial confederacies, the subdivisions into which they might be thrown would have frequent and violent contests with each other",Hamilton
"To presume a want of motives for such contests as an argument against their existence, would be to forget that men are ambitious, vindictive, and rapacious",Hamilton
"To look for a continuation of harmony between a number of independent, unconnected sovereignties in the same neighborhood, would be to disregard the uniform course of human events, and to set at defiance the accumulated experience of ages",Hamilton
The causes of hostility among nations are innumerable,Hamilton
There are some which have a general and almost constant operation upon the collective bodies of society,Hamilton
"Of this description are the love of power or the desire of pre-eminence and dominion--the jealousy of power, or the desire of equality and safety",Hamilton
There are others which have a more circumscribed though an equally operative influence within their spheres,Hamilton
Such are the rivalships and competitions of commerce between commercial nations,Hamilton
"And there are others, not less numerous than either of the former, which take their origin entirely in private passions; in the attachments, enmities, interests, hopes, and fears of leading individuals in the communities of which they are members",Hamilton
"Men of this class, whether the favorites of a king or of a people, have in too many instances abused the confidence they possessed; and assuming the pretext of some public motive, have not scrupled to sacrifice the national tranquillity to personal advantage or personal gratification",Hamilton
"The celebrated Pericles, in compliance with the resentment of a prostitute, [1] at the expense of much of the blood and treasure of his countrymen, attacked, vanquished, and destroyed the city of the SAMNIANS",Hamilton
"The same man, stimulated by private pique against the MEGARENSIANS, [2] another nation of Greece, or to avoid a prosecution with which he was threatened as an accomplice of a supposed theft of the statuary Phidias, [3] or to get rid of the accusations prepared to be brought against him for dissipating the funds of the state in the purchase of popularity, [4] or from a combination of all these causes, was the primitive author of that famous and fatal war, distinguished in the Grecian annals by the name of the PELOPONNESIAN war; which, after various vicissitudes, intermissions, and renewals, terminated in the ruin of the Athenian commonwealth",Hamilton
"The ambitious cardinal, who was prime minister to Henry VIII",Hamilton
", permitting his vanity to aspire to the triple crown, [5] entertained hopes of succeeding in the acquisition of that splendid prize by the influence of the Emperor Charles V",Hamilton
"To secure the favor and interest of this enterprising and powerful monarch, he precipitated England into a war with France, contrary to the plainest dictates of policy, and at the hazard of the safety and independence, as well of the kingdom over which he presided by his counsels, as of Europe in general",Hamilton
"For if there ever was a sovereign who bid fair to realize the project of universal monarchy, it was the Emperor Charles V",Hamilton
", of whose intrigues Wolsey was at once the instrument and the dupe",Hamilton
"The influence which the bigotry of one female, [6] the petulance of another, [7] and the cabals of a third, [8] had in the contemporary policy, ferments, and pacifications, of a considerable part of Europe, are topics that have been too often descanted upon not to be generally known",Hamilton
"To multiply examples of the agency of personal considerations in the production of great national events, either foreign or domestic, according to their direction, would be an unnecessary waste of time",Hamilton
"Those who have but a superficial acquaintance with the sources from which they are to be drawn, will themselves recollect a variety of instances; and those who have a tolerable knowledge of human nature will not stand in need of such lights to form their opinion either of the reality or extent of that agency",Hamilton
