sentence,author
"They will be governed by mutual interest, and will cultivate a spirit of mutual amity and concord",Hamilton
"The attempt, therefore, to regulate the contributions of the members of a confederacy by any such rule, cannot fail to be productive of glaring inequality and extreme oppression",Hamilton
""" It was presumed that a sense of their true interests, and a regard to the dictates of good faith, would be found sufficient pledges for the punctual performance of the duty of the members to the federal head",Hamilton
The extravagant surmises of a distempered jealousy can never be dignified with that character,Hamilton
"The legislature of the United States will be OBLIGED, by this provision, once at least in every two years, to deliberate upon the propriety of keeping a military force on foot; to come to a new resolution on the point; and to declare their sense of the matter, by a formal vote in the face of their constituents",Hamilton
"But these are not the only objects to which the jurisdiction of the Union, in respect to revenue, must necessarily be empowered to extend",Hamilton
"As the spirit of party, in different degrees, must be expected to infect all political bodies, there will be, no doubt, persons in the national legislature willing enough to arraign the measures and criminate the views of the majority",Hamilton
"Can it be expected that the deficiencies would be better supplied in this mode than the total wants of the Union have heretofore been supplied in the same mode? It ought to be recollected that if less will be required from the States, they will have proportionably less means to answer the demand",Hamilton
"This picture is not too highly wrought; though, I confess, it would not long remain a just one",Hamilton
"THE tendency of the principle of legislation for States, or communities, in their political capacities, as it has been exemplified by the experiment we have made of it, is equally attested by the events which have befallen all other governments of the confederate kind, of which we have any account, in exact proportion to its prevalence in those systems",Hamilton
"I am apt to think that a division of the duty, between the seller and the buyer, more often happens than is commonly imagined",Hamilton
"Suppose the difficulties of agreeing upon a rule surmounted, and the apportionment made",Hamilton
"Upon this ground, which is evidently the true one, it will not be difficult to obviate the objections which have been made to an indefinite power of taxation in the United States",Hamilton
There is no independent clause or sentence which prohibits the States from exercising it,Hamilton
"In those instances in which the monarch finally prevailed over his vassals, his success was chiefly owing to the tyranny of those vassals over their dependents",Hamilton
"The celebrated Pericles, in compliance with the resentment of a prostitute, [1] at the expense of much of the blood and treasure of his countrymen, attacked, vanquished, and destroyed the city of the SAMNIANS",Hamilton
"Have we valuable territories and important posts in the possession of a foreign power which, by express stipulations, ought long since to have been surrendered? These are still retained, to the prejudice of our interests, not less than of our rights",Hamilton
"But how the national legislature may reason on the point, is a thing which neither they nor I can foresee",Hamilton
"But the same process will lead to the same result, in relation to all other powers declared in the Constitution",Hamilton
"As in republics strength is always on the side of the people, and as there are weighty reasons to induce a belief that the State governments will commonly possess most influence over them, the natural conclusion is that such contests will be most apt to end to the disadvantage of the Union; and that there is greater probability of encroachments by the members upon the federal head, than by the federal head upon the members",Hamilton
Let us now return to the examination of objections,Hamilton
"If associates could not be found at home, recourse would be had to the aid of foreign powers, who would seldom be disinclined to encouraging the dissensions of a Confederacy, from the firm union of which they had so much to fear",Hamilton
"Considerations of economy, not less than of stability and vigor, confirm this position",Hamilton
"The next most palpable defect of the subsisting Confederation, is the total want of a SANCTION to its laws",Hamilton
"Even in those confederacies which have been composed of members smaller than many of our counties, the principle of legislation for sovereign States, supported by military coercion, has never been found effectual",Hamilton
"Admitting that we ought to try the novel and absurd experiment in politics of tying up the hands of government from offensive war founded upon reasons of state, yet certainly we ought not to disable it from guarding the community against the ambition or enmity of other nations",Hamilton
"This fully corresponds, in every rational import of the terms, with the idea of a federal government",Hamilton
"But it would, in fact, have afforded little or no additional security against the danger apprehended; and the want of it will never be considered, by an impartial and judicious examiner, as a serious, still less as an insuperable, objection to the plan",Hamilton
"It has been asserted that a power of internal taxation in the national legislature could never be exercised with advantage, as well from the want of a sufficient knowledge of local circumstances, as from an interference between the revenue laws of the Union and of the particular States",Hamilton
"The people, by throwing themselves into either scale, will infallibly make it preponderate",Hamilton
"As often as such an interference was to happen, there would be reason to apprehend that the provisions of the particular laws might be preferred to those of the general laws; for nothing is more natural to men in office than to look with peculiar deference towards that authority to which they owe their official existence",Hamilton
"By multipying the means of gratification, by promoting the introduction and circulation of the precious metals, those darling objects of human avarice and enterprise, it serves to vivify and invigorate the channels of industry, and to make them flow with greater activity and copiousness",Hamilton
"[1] Are we even in a condition to remonstrate with dignity? The just imputations on our own faith, in respect to the same treaty, ought first to be removed",Hamilton
How much this contributed to the ruin of the ancient commonwealths has been already delineated,Hamilton
"WE HAVE seen that the result of the observations, to which the foregoing number has been principally devoted, is, that from the natural operation of the different interests and views of the various classes of the community, whether the representation of the people be more or less numerous, it will consist almost entirely of proprietors of land, of merchants, and of members of the learned professions, who will truly represent all those different interests and views",Hamilton
"''I have thought it proper to quote at length these interesting passages, because they contain a luminous abridgment of the principal arguments in favor of the Union, and must effectually remove the false impressions which a misapplication of other parts of the work was calculated to make",Hamilton
"In applying thus particularly to the Senate a general observation suggested by the situation of the country, I am governed by the consideration, that the credulous votaries of State power cannot, upon their own principles, suspect, that the State legislatures would be warped from their duty by any external influence",Hamilton
